month,facility,indicator,value,target
2023-05,Community Services North,Patient Experience Score (%),78.16,85.0
2023-05,Community Services North,HAI Rate per 1000 Bed Days,2.67,1.5
2023-05,Community Services North,Complaint Resolution within 20 Days (%),71.64,80.0
2023-05,Community Services North,Adverse Event Closure within 30 Days (%),58.87,75.0
2023-05,Community Services West,Hand Hygiene Compliance (%),77.95,80.0
2023-05,Community Services West,Falls per 1000 Bed Days,6.67,5.0
2023-05,Community Services West,Medication Errors per 1000 Admissions,5.18,2.5
2023-05,Community Services West,Pressure Injuries per 1000 Bed Days,3.13,1.5
2023-05,Community Services West,Patient Experience Score (%),67.46,85.0
2023-05,Community Services West,HAI Rate per 1000 Bed Days,3.99,1.5
2023-05,Community Services West,Complaint Resolution within 20 Days (%),68.42,80.0
2023-05,Community Services West,Adverse Event Closure within 30 Days (%),58.13,75.0
2023-06,North Shore Hospital,Hand Hygiene Compliance (%),82.38,80.0
2023-06,North Shore Hospital,Falls per 1000 Bed Days,6.34,5.0
2023-06,North Shore Hospital,Medication Errors per 1000 Admissions,3.1,2.5
2023-06,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.57,1.5
2023-06,North Shore Hospital,Patient Experience Score (%),87.04,85.0
2023-06,North Shore Hospital,HAI Rate per 1000 Bed Days,2.78,1.5
2023-06,North Shore Hospital,Complaint Resolution within 20 Days (%),69.22,80.0
2023-06,North Shore Hospital,Adverse Event Closure within 30 Days (%),57.02,75.0
2023-06,Waitakere Hospital,Hand Hygiene Compliance (%),80.27,80.0
2023-06,Waitakere Hospital,Falls per 1000 Bed Days,5.53,5.0
2023-06,Waitakere Hospital,Medication Errors per 1000 Admissions,2.65,2.5
2023-06,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,0.92,1.5
2023-06,Waitakere Hospital,Patient Experience Score (%),73.32,85.0
2023-06,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.63,1.5
2023-06,Waitakere Hospital,Complaint Resolution within 20 Days (%),67.55,80.0
2023-06,Waitakere Hospital,Adverse Event Closure within 30 Days (%),56.56,75.0
2023-06,Community Services North,Hand Hygiene Compliance (%),81.57,80.0
2023-06,Community Services North,Falls per 1000 Bed Days,6.4,5.0
2023-06,Community Services North,Medication Errors per 1000 Admissions,4.58,2.5
2023-06,Community Services North,Pressure Injuries per 1000 Bed Days,2.23,1.5
2023-06,Community Services North,Patient Experience Score (%),84.82,85.0
2023-06,Community Services North,HAI Rate per 1000 Bed Days,0.96,1.5
2023-06,Community Services North,Complaint Resolution within 20 Days (%),68.48,80.0
2023-06,Community Services North,Adverse Event Closure within 30 Days (%),66.27,75.0
2023-06,Community Services West,Hand Hygiene Compliance (%),77.26,80.0
2023-06,Community Services West,Falls per 1000 Bed Days,3.78,5.0
2023-06,Community Services West,Medication Errors per 1000 Admissions,4.16,2.5
2023-06,Community Services West,Pressure Injuries per 1000 Bed Days,0.0,1.5
2023-06,Community Services West,Patient Experience Score (%),73.22,85.0
2023-06,Community Services West,HAI Rate per 1000 Bed Days,0.01,1.5
2023-06,Community Services West,Complaint Resolution within 20 Days (%),64.24,80.0
2023-06,Community Services West,Adverse Event Closure within 30 Days (%),65.32,75.0
2023-07,North Shore Hospital,Hand Hygiene Compliance (%),81.24,80.0
2023-07,North Shore Hospital,Falls per 1000 Bed Days,5.62,5.0
2023-07,North Shore Hospital,Medication Errors per 1000 Admissions,3.49,2.5
2023-07,North Shore Hospital,Pressure Injuries per 1000 Bed Days,2.25,1.5
2023-07,North Shore Hospital,Patient Experience Score (%),78.92,85.0
2023-07,North Shore Hospital,HAI Rate per 1000 Bed Days,1.82,1.5
2023-07,North Shore Hospital,Complaint Resolution within 20 Days (%),63.09,80.0
2023-07,North Shore Hospital,Adverse Event Closure within 30 Days (%),46.56,75.0
2023-07,Waitakere Hospital,Hand Hygiene Compliance (%),79.73,80.0
2023-07,Waitakere Hospital,Falls per 1000 Bed Days,6.17,5.0
2023-07,Waitakere Hospital,Medication Errors per 1000 Admissions,3.03,2.5
2023-07,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,2.09,1.5
2023-07,Waitakere Hospital,Patient Experience Score (%),80.27,85.0
2023-07,Waitakere Hospital,HAI Rate per 1000 Bed Days,2.16,1.5
2023-07,Waitakere Hospital,Complaint Resolution within 20 Days (%),65.2,80.0
2023-07,Waitakere Hospital,Adverse Event Closure within 30 Days (%),60.88,75.0
2023-07,Community Services North,Hand Hygiene Compliance (%),78.51,80.0
2023-07,Community Services North,Falls per 1000 Bed Days,3.78,5.0
2023-07,Community Services North,Medication Errors per 1000 Admissions,3.96,2.5
2023-07,Community Services North,Pressure Injuries per 1000 Bed Days,3.05,1.5
2023-07,Community Services North,Patient Experience Score (%),79.86,85.0
2023-07,Community Services North,HAI Rate per 1000 Bed Days,0.76,1.5
2023-07,Community Services North,Complaint Resolution within 20 Days (%),60.34,80.0
2023-07,Community Services North,Adverse Event Closure within 30 Days (%),61.48,75.0
2023-07,Community Services West,Hand Hygiene Compliance (%),83.3,80.0
2023-07,Community Services West,Falls per 1000 Bed Days,4.01,5.0
2023-07,Community Services West,Medication Errors per 1000 Admissions,0.85,2.5
2023-07,Community Services West,Pressure Injuries per 1000 Bed Days,0.0,1.5
2023-07,Community Services West,Patient Experience Score (%),80.59,85.0
2023-07,Community Services West,HAI Rate per 1000 Bed Days,1.75,1.5
2023-07,Community Services West,Complaint Resolution within 20 Days (%),69.9,80.0
2023-07,Community Services West,Adverse Event Closure within 30 Days (%),63.72,75.0
2023-08,North Shore Hospital,Hand Hygiene Compliance (%),84.97,80.0
2023-08,North Shore Hospital,Falls per 1000 Bed Days,3.33,5.0
2023-08,North Shore Hospital,Medication Errors per 1000 Admissions,3.12,2.5
2023-08,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.51,1.5
2023-08,North Shore Hospital,Patient Experience Score (%),81.93,85.0
2023-08,North Shore Hospital,HAI Rate per 1000 Bed Days,2.5,1.5
2023-08,North Shore Hospital,Complaint Resolution within 20 Days (%),67.54,80.0
2023-08,North Shore Hospital,Adverse Event Closure within 30 Days (%),58.94,75.0
2023-08,Waitakere Hospital,Hand Hygiene Compliance (%),87.89,80.0
2023-08,Waitakere Hospital,Falls per 1000 Bed Days,4.2,5.0
2023-08,Waitakere Hospital,Medication Errors per 1000 Admissions,2.1,2.5
2023-08,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,0.99,1.5
2023-08,Waitakere Hospital,Patient Experience Score (%),77.31,85.0
2023-08,Waitakere Hospital,HAI Rate per 1000 Bed Days,3.56,1.5
2023-08,Waitakere Hospital,Complaint Resolution within 20 Days (%),58.9,80.0
2023-08,Waitakere Hospital,Adverse Event Closure within 30 Days (%),57.25,75.0
2023-08,Community Services North,Hand Hygiene Compliance (%),85.17,80.0
2023-08,Community Services North,Falls per 1000 Bed Days,6.97,5.0
2023-08,Community Services North,Medication Errors per 1000 Admissions,1.86,2.5
2023-08,Community Services North,Pressure Injuries per 1000 Bed Days,0.03,1.5
2023-08,Community Services North,Patient Experience Score (%),78.27,85.0
2023-08,Community Services North,HAI Rate per 1000 Bed Days,1.64,1.5
2023-08,Community Services North,Complaint Resolution within 20 Days (%),72.06,80.0
2023-08,Community Services North,Adverse Event Closure within 30 Days (%),55.12,75.0
2023-08,Community Services West,Hand Hygiene Compliance (%),85.59,80.0
2023-08,Community Services West,Falls per 1000 Bed Days,2.98,5.0
2023-08,Community Services West,Medication Errors per 1000 Admissions,2.3,2.5
2023-08,Community Services West,Pressure Injuries per 1000 Bed Days,3.57,1.5
2023-08,Community Services West,Patient Experience Score (%),84.35,85.0
2023-08,Community Services West,HAI Rate per 1000 Bed Days,2.96,1.5
2023-08,Community Services West,Complaint Resolution within 20 Days (%),72.21,80.0
2023-08,Community Services West,Adverse Event Closure within 30 Days (%),59.47,75.0
2023-09,North Shore Hospital,Hand Hygiene Compliance (%),81.67,80.0
2023-09,North Shore Hospital,Falls per 1000 Bed Days,4.18,5.0
2023-09,North Shore Hospital,Medication Errors per 1000 Admissions,2.73,2.5
2023-09,North Shore Hospital,Pressure Injuries per 1000 Bed Days,2.19,1.5
2023-09,North Shore Hospital,Patient Experience Score (%),82.19,85.0
2023-09,North Shore Hospital,HAI Rate per 1000 Bed Days,2.17,1.5
2023-09,North Shore Hospital,Complaint Resolution within 20 Days (%),61.67,80.0
2023-09,North Shore Hospital,Adverse Event Closure within 30 Days (%),61.47,75.0
2023-09,Waitakere Hospital,Hand Hygiene Compliance (%),83.6,80.0
2023-09,Waitakere Hospital,Falls per 1000 Bed Days,4.59,5.0
2023-09,Waitakere Hospital,Medication Errors per 1000 Admissions,1.96,2.5
2023-09,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,1.6,1.5
2023-09,Waitakere Hospital,Patient Experience Score (%),76.23,85.0
2023-09,Waitakere Hospital,HAI Rate per 1000 Bed Days,2.81,1.5
2023-09,Waitakere Hospital,Complaint Resolution within 20 Days (%),72.34,80.0
2023-09,Waitakere Hospital,Adverse Event Closure within 30 Days (%),63.76,75.0
2023-09,Community Services North,Hand Hygiene Compliance (%),85.26,80.0
2023-09,Community Services North,Falls per 1000 Bed Days,5.15,5.0
2023-09,Community Services North,Medication Errors per 1000 Admissions,2.57,2.5
2023-09,Community Services North,Pressure Injuries per 1000 Bed Days,2.8,1.5
2023-09,Community Services North,Patient Experience Score (%),69.29,85.0
2023-09,Community Services North,HAI Rate per 1000 Bed Days,2.53,1.5
2023-09,Community Services North,Complaint Resolution within 20 Days (%),69.42,80.0
2023-09,Community Services North,Adverse Event Closure within 30 Days (%),63.0,75.0
2023-09,Community Services West,Hand Hygiene Compliance (%),84.65,80.0
2023-09,Community Services West,Falls per 1000 Bed Days,2.66,5.0
2023-09,Community Services West,Medication Errors per 1000 Admissions,4.21,2.5
2023-09,Community Services West,Pressure Injuries per 1000 Bed Days,3.06,1.5
2023-09,Community Services West,Patient Experience Score (%),81.33,85.0
2023-09,Community Services West,HAI Rate per 1000 Bed Days,3.29,1.5
2023-09,Community Services West,Complaint Resolution within 20 Days (%),72.42,80.0
2023-09,Community Services West,Adverse Event Closure within 30 Days (%),67.95,75.0
2023-10,North Shore Hospital,Hand Hygiene Compliance (%),83.3,80.0
2023-10,North Shore Hospital,Falls per 1000 Bed Days,5.54,5.0
2023-10,North Shore Hospital,Medication Errors per 1000 Admissions,2.47,2.5
2023-10,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.69,1.5
2023-10,North Shore Hospital,Patient Experience Score (%),82.4,85.0
2023-10,North Shore Hospital,HAI Rate per 1000 Bed Days,1.98,1.5
2023-10,North Shore Hospital,Complaint Resolution within 20 Days (%),65.97,80.0
2023-10,North Shore Hospital,Adverse Event Closure within 30 Days (%),63.63,75.0
2023-10,Waitakere Hospital,Hand Hygiene Compliance (%),88.36,80.0
2023-10,Waitakere Hospital,Falls per 1000 Bed Days,4.22,5.0
2023-10,Waitakere Hospital,Medication Errors per 1000 Admissions,2.26,2.5
2023-10,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,2.15,1.5
2023-10,Waitakere Hospital,Patient Experience Score (%),74.14,85.0
2023-10,Waitakere Hospital,HAI Rate per 1000 Bed Days,2.08,1.5
2023-10,Waitakere Hospital,Complaint Resolution within 20 Days (%),72.46,80.0
2023-10,Waitakere Hospital,Adverse Event Closure within 30 Days (%),55.0,75.0
2023-10,Community Services North,Hand Hygiene Compliance (%),88.78,80.0
2023-10,Community Services North,Falls per 1000 Bed Days,2.56,5.0
2023-10,Community Services North,Medication Errors per 1000 Admissions,4.35,2.5
2023-10,Community Services North,Pressure Injuries per 1000 Bed Days,2.51,1.5
2023-10,Community Services North,Patient Experience Score (%),70.42,85.0
2023-10,Community Services North,HAI Rate per 1000 Bed Days,1.45,1.5
2023-10,Community Services North,Complaint Resolution within 20 Days (%),62.73,80.0
2023-10,Community Services North,Adverse Event Closure within 30 Days (%),65.47,75.0
2023-10,Community Services West,Hand Hygiene Compliance (%),88.05,80.0
2023-10,Community Services West,Falls per 1000 Bed Days,8.17,5.0
2023-10,Community Services West,Medication Errors per 1000 Admissions,4.29,2.5
2023-10,Community Services West,Pressure Injuries per 1000 Bed Days,0.26,1.5
2023-10,Community Services West,Patient Experience Score (%),72.08,85.0
2023-10,Community Services West,HAI Rate per 1000 Bed Days,0.0,1.5
2023-10,Community Services West,Complaint Resolution within 20 Days (%),71.51,80.0
2023-10,Community Services West,Adverse Event Closure within 30 Days (%),63.57,75.0
2023-11,North Shore Hospital,Hand Hygiene Compliance (%),82.71,80.0
2023-11,North Shore Hospital,Falls per 1000 Bed Days,4.41,5.0
2023-11,North Shore Hospital,Medication Errors per 1000 Admissions,3.14,2.5
2023-11,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.81,1.5
2023-11,North Shore Hospital,Patient Experience Score (%),77.97,85.0
2023-11,North Shore Hospital,HAI Rate per 1000 Bed Days,1.9,1.5
2023-11,North Shore Hospital,Complaint Resolution within 20 Days (%),63.26,80.0
2023-11,North Shore Hospital,Adverse Event Closure within 30 Days (%),62.8,75.0
2023-11,Waitakere Hospital,Hand Hygiene Compliance (%),81.98,80.0
2023-11,Waitakere Hospital,Falls per 1000 Bed Days,6.56,5.0
2023-11,Waitakere Hospital,Medication Errors per 1000 Admissions,3.1,2.5
2023-11,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,3.37,1.5
2023-11,Waitakere Hospital,Patient Experience Score (%),73.35,85.0
2023-11,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.4,1.5
2023-11,Waitakere Hospital,Complaint Resolution within 20 Days (%),62.29,80.0
2023-11,Waitakere Hospital,Adverse Event Closure within 30 Days (%),61.02,75.0
2023-11,Community Services North,Hand Hygiene Compliance (%),80.32,80.0
2023-11,Community Services North,Falls per 1000 Bed Days,3.64,5.0
2023-11,Community Services North,Medication Errors per 1000 Admissions,2.23,2.5
2023-11,Community Services North,Pressure Injuries per 1000 Bed Days,2.52,1.5
2023-11,Community Services North,Patient Experience Score (%),75.67,85.0
2023-11,Community Services North,HAI Rate per 1000 Bed Days,2.89,1.5
2023-11,Community Services North,Complaint Resolution within 20 Days (%),70.53,80.0
2023-11,Community Services North,Adverse Event Closure within 30 Days (%),61.09,75.0
2023-11,Community Services West,Hand Hygiene Compliance (%),82.48,80.0
2023-11,Community Services West,Falls per 1000 Bed Days,4.2,5.0
2023-11,Community Services West,Medication Errors per 1000 Admissions,2.26,2.5
2023-11,Community Services West,Pressure Injuries per 1000 Bed Days,0.27,1.5
2023-11,Community Services West,Patient Experience Score (%),82.13,85.0
2023-11,Community Services West,HAI Rate per 1000 Bed Days,0.0,1.5
2023-11,Community Services West,Complaint Resolution within 20 Days (%),74.83,80.0
2023-11,Community Services West,Adverse Event Closure within 30 Days (%),59.32,75.0
2023-12,North Shore Hospital,Hand Hygiene Compliance (%),87.9,80.0
2023-12,North Shore Hospital,Falls per 1000 Bed Days,4.86,5.0
2023-12,North Shore Hospital,Medication Errors per 1000 Admissions,3.75,2.5
2023-12,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.98,1.5
2023-12,North Shore Hospital,Patient Experience Score (%),89.1,85.0
2023-12,North Shore Hospital,HAI Rate per 1000 Bed Days,2.51,1.5
2023-12,North Shore Hospital,Complaint Resolution within 20 Days (%),67.63,80.0
2023-12,North Shore Hospital,Adverse Event Closure within 30 Days (%),51.53,75.0
2023-12,Waitakere Hospital,Hand Hygiene Compliance (%),80.57,80.0
2023-12,Waitakere Hospital,Falls per 1000 Bed Days,6.63,5.0
2023-12,Waitakere Hospital,Medication Errors per 1000 Admissions,4.62,2.5
2023-12,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,1.71,1.5
2023-12,Waitakere Hospital,Patient Experience Score (%),72.65,85.0
2023-12,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.93,1.5
2023-12,Waitakere Hospital,Complaint Resolution within 20 Days (%),69.24,80.0
2023-12,Waitakere Hospital,Adverse Event Closure within 30 Days (%),62.07,75.0
2023-12,Community Services North,Hand Hygiene Compliance (%),81.38,80.0
2023-12,Community Services North,Falls per 1000 Bed Days,3.02,5.0
2023-12,Community Services North,Medication Errors per 1000 Admissions,3.64,2.5
2023-12,Community Services North,Pressure Injuries per 1000 Bed Days,2.42,1.5
2023-12,Community Services North,Patient Experience Score (%),78.07,85.0
2023-12,Community Services North,HAI Rate per 1000 Bed Days,1.15,1.5
2023-12,Community Services North,Complaint Resolution within 20 Days (%),64.36,80.0
2023-12,Community Services North,Adverse Event Closure within 30 Days (%),68.02,75.0
2023-12,Community Services West,Hand Hygiene Compliance (%),78.26,80.0
2023-12,Community Services West,Falls per 1000 Bed Days,6.0,5.0
2023-12,Community Services West,Medication Errors per 1000 Admissions,1.19,2.5
2023-12,Community Services West,Pressure Injuries per 1000 Bed Days,3.4,1.5
2023-12,Community Services West,Patient Experience Score (%),79.84,85.0
